all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	mode	perturbation	target_genes	n_shared_sites	graph_abs	latent_abs	residual_abs	attention_mean
0.292987585067749	0.37803047724854544	0.7575757575757576	0.6614330410957336	0.2594372608313854	0.8571428571428571	0.2857142857142857	1.0	0.6428571428571429	0.039152853190898895	1.1704109907150269	0.04584486410021782	0.03848978504538536	true	Selumetinib	MAP2K1;MAP2K2	33	0.000284153560642153	0.01659526489675045	0.023797743022441864	0.0006774751818738878
0.1494765728712082	0.39057018790473336	0.7575757575757576	0.007001662626862526	0.22237479499833038	0.7142857142857143	0.2857142857142857	0.5	0.5274725274725275	0.00025623157853260636	1.1704109907150269	0.0003015125112142414	0.00019373238319531083	zero	Selumetinib		33	0.00025623157853260636	0.0	0.0	0.000972796930000186
0.4506187438964844	0.46413649042103594	0.7575757575757576	0.6200764775276184	0.037062465833055065	0.8571428571428571	0.2857142857142857	1.0	0.6648351648351648	0.03750348463654518	1.1704109907150269	0.048169489949941635	0.028606247156858444	shuffled	Selumetinib	ABL1;KIT	33	0.0005078781978227198	0.0165812186896801	0.020913027226924896	0.0024190188851207495
0.6499104499816895	0.672797275740003	0.8484848484848485	0.5018205046653748	0.07412493166611013	0.8571428571428571	0.2857142857142857	1.0	0.5824175824175825	0.03672019764780998	0.5682671666145325	0.04306821897625923	0.030324142426252365	true	Nilotinib	ABL1;KIT;PDGFRB	33	0.0004842644848395139	0.01606084406375885	0.020621001720428467	0.002297446131706238
0.3283728063106537	0.524995886139068	0.7272727272727273	-0.24940195679664612	-0.14824986333222026	0.5714285714285714	0.14285714285714285	0.0	0.4230769230769231	0.00025623157853260636	0.5682671666145325	0.00019582350796554238	0.00021998255397193134	zero	Nilotinib		33	0.00025623157853260636	0.0	0.0	0.000972796930000186
0.48937326669692993	0.5646213718126218	0.7575757575757576	0.3865695893764496	0.07412493166611013	0.7142857142857143	0.2857142857142857	1.0	0.5054945054945055	0.042377717792987823	0.5682671666145325	0.04406553506851196	0.04233203083276749	shuffled	Nilotinib	EGFR	33	5.531624628929421e-05	0.024284305050969124	0.019217446446418762	0.0002831820456776768
0.6223225593566895	0.7247952759276624	0.7878787878787878	0.627781867980957	0.34235623582431246	0.8571428571428571	0.42857142857142855	1.0	0.7362637362637363	0.048743803054094315	0.7999143600463867	0.0696294978260994	0.039737991988658905	true	dactolisib	PIK3CA;PIK3CB;MTOR	33	0.0004179439856670797	0.021031400188803673	0.027450772002339363	0.0016346912598237395
0.438757061958313	0.6768099831499832	0.7272727272727273	0.4635748863220215	0.12613124477737828	0.8571428571428571	0.5714285714285714	0.75	0.7637362637362637	0.00025623157853260636	0.7999143600463867	0.0004334441036917269	0.0002420791715849191	zero	dactolisib		33	0.00025623157853260636	0.0	0.0	0.000972796930000186
0.6362977623939514	0.7065708964406692	0.7272727272727273	0.7184647917747498	0.4504687313477795	0.8571428571428571	0.42857142857142855	1.0	0.7637362637362637	0.03672019764780998	0.7999143600463867	0.052782732993364334	0.027203699573874474	shuffled	dactolisib	ABL1;KIT;PDGFRB	33	0.0004842644848395139	0.01606084406375885	0.020621001720428467	0.002297446131706238
0.5307825803756714	0.4609597637214683	0.6666666666666666	0.8921244740486145	0.9549937104572925	1.0	0.42857142857142855	1.0	0.5989010989010989	0.037262123078107834	0.4869900941848755	0.044620953500270844	0.03438829630613327	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	33	0.0003740399261005223	0.01397626381367445	0.023475827649235725	0.0016064370283856988
0.395408570766449	0.4022739178505088	0.6363636363636364	0.6374098062515259	0.7567874686642696	0.8571428571428571	0.2857142857142857	1.0	0.5384615384615384	0.00025623157853260636	0.4869900941848755	0.0003221302467864007	0.00021241387003101408	zero	vorinostat		33	0.00025623157853260636	0.0	0.0	0.000972796930000186
0.395408570766449	0.4022739178505088	0.6363636363636364	0.6374098062515259	0.7567874686642696	0.8571428571428571	0.2857142857142857	1.0	0.5384615384615384	0.00025623157853260636	0.4869900941848755	0.0003221302467864007	0.00021241387003101408	shuffled	vorinostat	PSMB5	33	0.00025623157853260636	0.0	0.0	0.000972796930000186
0.6564164161682129	0.731581459373166	0.8205128205128205	0.7331624031066895	0.9047619047619048	1.0	0.5	1.0	0.6814516129032258	0.036616113036870956	0.5786794424057007	0.058793582022190094	0.030081771314144135	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	39	0.00044629842159338295	0.013789089396595955	0.02316424623131752	0.0016538194613531232
0.5060220956802368	0.6817561440337974	0.7692307692307693	0.5025492906570435	0.9047619047619048	0.75	0.625	1.0	0.7862903225806451	0.0003105169744230807	0.5786794424057007	0.0008012101170606911	0.00016602141840849072	zero	vorinostat		39	0.0003105169744230807	0.0	0.0	0.0010011919075623155
