mode	perturbation	target_genes	n	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	graph_abs	latent_abs	residual_abs	attention_mean
shuffled	Selumetinib	ABL1;KIT	7	0.3642117402383259	0.4206227816863703	0.67138671125688	0.521581221105797	0.44789152995462106	0.8082096474953618	0.34939703153988866	0.8928571428571429	0.647185687875343	0.04448351051126208	0.6689348305974688	0.05862409142511232	0.035413382574915886	0.00012704514145817875	0.022485718663249697	0.02228333960686411	0.00033330794290772507
shuffled	Trametinib	ABL1;KIT	7	0.5516716241836548	0.536728124925043	0.6663094227504244	0.7044693572180611	0.6798886598020221	0.852891156462585	0.5110544217687075	1.0	0.7343962585034013	0.0471898370555469	0.7906239543642316	0.07414330595305987	0.03488811318363462	0.0002827432794479786	0.024106583691069057	0.023202486070139066	0.0006125637633626216
shuffled	Vorinostat	PSMB5	6	0.4187698910633723	0.5438140210296387	0.5578784270263473	0.47639090816179913	0.600484819190305	0.6547619047619048	0.4444444444444444	0.875	0.6294113756613756	3.573242869000145e-05	0.5478563159704208	0.0001273032956608707	1.0146812807458142e-05	3.573242869000145e-05	0.0	0.0	7.482844800203263e-05
shuffled	curcumin	HDAC1;HDAC2;HDAC3;HDAC6	7	0.6185313654797417	0.6067329945399936	0.7149884998722208	0.7521677400384631	0.5633947417086625	0.8527777777777777	0.45476190476190476	1.0	0.7389177799020005	0.04656330921820232	0.5305238110678536	0.07144225229110036	0.034509988501667976	6.922307407616504e-05	0.01999088390065091	0.027618689196450368	0.00016403048877171905
shuffled	dactolisib	ABL1;KIT;PDGFRB	7	0.6391058691910335	0.6668644795207092	0.7707792473037655	0.787936406476157	0.5928543186912237	0.9344619666048237	0.3399814471243042	1.0	0.6243694769926297	0.04322826809116772	0.8971370032855442	0.055893431550690105	0.0360981287168605	0.00011675352756615862	0.021759985280888423	0.021844923230154172	0.0003084585228602269
shuffled	vorinostat	PSMB5	22	0.48274022645571013	0.6052885503402581	0.5751888892276812	0.5921801599589261	0.7096254109329572	0.7107552800734619	0.3781024531024531	1.0	0.6121957454046377	2.949340560834654e-05	0.7049070163206621	8.539422360213807e-05	1.1611327677614595e-05	2.949340560834654e-05	0.0	0.0	7.171089311503403e-05
true	Bortezomib	PSMB5	7	0.43024447028126034	0.5216494877723613	0.553506582316005	0.4877741592270987	0.5306830716230774	0.782312925170068	0.5051020408163265	0.9047619047619048	0.7147562358276645	4.4032900794783405e-05	0.9049756356648037	0.0001362335177483536	9.705956927064108e-06	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
true	Bosutinib	ABL1;SRC;LYN;HCK	7	0.7339738181659153	0.6632897534271008	0.737417973697685	0.8942722763334002	0.8031203438094886	0.9413265306122449	0.5034013605442177	1.0	0.7786848072562359	0.049579061567783356	0.5881333947181702	0.08884705549904279	0.032572827701057704	0.0002834728636246707	0.025669448875955174	0.024119756583656584	0.0006112769541297374
true	Carfilzomib	PSMB5	7	0.3754851262284709	0.4881301510987771	0.5447002923976608	0.4620899132319859	0.7077641146513464	0.8035714285714286	0.4328231292517007	0.8571428571428571	0.5968990929705216	4.4032900794783405e-05	0.9595299107687814	0.0001393346885509215	1.8090293646569728e-05	4.4032900794783405e-05	0.0	0.0	9.865115602484107e-05
true	Dasatinib	ABL1;SRC;LYN;LCK;HCK;KIT;PDGFRB;YES1	6	0.6232376719514529	0.6354682739396923	0.7174259573665346	0.7858166098594666	0.6574623937561885	0.8313492063492064	0.40873015873015867	1.0	0.688938492063492	0.0459597185254097	0.709710568189621	0.06881978673239549	0.03560523937145869	0.0002349525069197019	0.02356943270812432	0.022639259075125057	0.00047362843179143965
true	Erlotinib	EGFR	7	0.5835645411695752	0.5890989342343426	0.7067136928342361	0.7694465007100787	0.7340164896596335	0.8826530612244897	0.4583333333333333	1.0	0.7305498866213151	0.04753629064985684	0.6454836215291705	0.07696630592857089	0.03712817760450499	1.5802704378334704e-05	0.03280342556536198	0.016729880390422686	4.351285990976196e-05
true	Gefitinib	EGFR	7	0.5640338318688529	0.5785044880730458	0.6497903023688253	0.823591308934348	0.7245601964539627	0.8673469387755102	0.42346938775510207	1.0	0.6709977324263038	0.047631438821554184	0.6404468374592918	0.07245264894195966	0.04253625337566648	1.581201117265404e-05	0.03285157174936363	0.016787448631865636	4.3550454003187565e-05
true	Imatinib	ABL1;KIT;PDGFRB	7	0.6991648972034454	0.6247823782498634	0.7394174279785485	0.851817956992558	0.806794704860084	0.9005102040816327	0.5612244897959183	1.0	0.7980980725623583	0.04597170438085284	0.5799754985741207	0.08307227173021861	0.03328552043863705	0.0002618337504307939	0.023396900588912622	0.022760549560189247	0.0005696133968220758
true	Lapatinib	EGFR;ERBB2	7	0.6288108485085624	0.6382315769455349	0.7491714838170696	0.759955325296947	0.7917507106565281	0.9030612244897959	0.4583333333333333	0.9238095238095239	0.7742857142857142	0.07225592540843147	0.6712903039796012	0.11794682698590415	0.04993562985743795	4.843179171335318e-05	0.037439853485141485	0.03516899288765022	0.0001268289893882216
true	Nilotinib	ABL1;KIT;PDGFRB	7	0.6076187363692692	0.5636626842215435	0.7108476373951256	0.7202970598425184	0.6831350791153241	0.7890538033395177	0.4211038961038961	1.0	0.6670122816428236	0.04322826809116772	0.5647798095430646	0.06137853967291968	0.032340491456644874	0.00011675352756615862	0.021759985280888423	0.021844923230154172	0.0003084585228602269
true	Ponatinib	ABL1;KIT	7	0.459401864026274	0.36856229368576104	0.6182943918937127	0.6682136846440179	0.6210383568547213	0.8061224489795917	0.369047619047619	1.0	0.675515873015873	0.0471898370555469	0.6152817904949188	0.06528423673340253	0.04172397617782865	0.0002827432794479786	0.024106583691069057	0.023202486070139066	0.0006125637633626216
true	Selumetinib	MAP2K1;MAP2K2	7	0.2675680198839733	0.375546869137158	0.6333153384746314	0.4868647072996412	0.44964365099977194	0.7809369202226345	0.3243970315398887	0.9027777777777778	0.5764300846936316	0.038478514445679526	0.6689348305974688	0.04512615209179265	0.03561854495533875	4.126998516897272e-05	0.02213905139693192	0.019856293818780353	8.334560126448716e-05
true	Trametinib	MAP2K1;MAP2K2	7	0.4720535342182432	0.4852793953832738	0.6538990284851914	0.6745807826519012	0.6275281978648354	0.852891156462585	0.5297619047619048	1.0	0.7370068027210884	0.04348936304450035	0.7906239543642316	0.07895719206758908	0.031215843611529896	7.501232487681721e-05	0.02595130673476628	0.021090575626918247	0.0001422280324082489
true	Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	6	0.4733892207344373	0.4745712370306947	0.6777009447902911	0.6062662402788798	0.5916909197590405	0.8154761904761904	0.5059523809523809	0.9027777777777777	0.7668022486772487	0.042716217537721	0.5478563159704208	0.07184760520855586	0.03249810542911291	9.983714153349865e-05	0.018333851515005033	0.025244080151120823	0.00020423184832907282
