rank	split_69001	split_69002	split_69003	split_69004	split_69005
124	__Rsl1d1	ATXN10	__Vmp1	__Spop	TRA2A
125	PRPF31	__Elovl5	ACACA	PPP4R3B	NDUFB6
126	HTT	CCNB2	__Psmd1	SCMH1	__Rbck1
127	ADD1	PBRM1	__Idh3g	__Actr10	PKN2
128	SDHC	MRPL36	__Cab39	COPB1	BAZ1B
129	GINS2	INTS11	__Dnajc5	TSTD1	RABEP1
130	__Pmf1	__Cdca2	PRDM2	__Sqle	KDM5B
131	PCBP3	SLC5A3	__Lsm8	__Gmds	TMEM256
132	WAS	__Rnf7	ZBTB1	__Supt5	__Polr2a
133	__Ddx46	ECHS1	__Igtp	__Tomm70a	__Timm17b
134	CHCHD1	SDHC	__Cbx1	__Sod2	MRTFA
135	EIF2S1	__Bzw2	TPGS2	FAAP20	MARK3
136	VPS51	__Rsl1d1	__Kif20b	VSIR	__Tcerg1
137	__Agpat5	__Eif2s1	SLC41A2	__Cntrl	MAP3K2
138	__Kars	__Tcea1	AC147651.4	MRPS15	CENPW
139	__Wac	DCP1A	MRTFA	__Rbm33	__Zfp36l2
140	CMTM3	EIF2S1	ZCRB1	__Mrpl28	ITGB3BP
141	UBE3A	__Cnpy2	__Hpf1	__Ascc3	MAPK1IP1L
142	SSBP2	__Lta4h	WDR82	__Arglu1	__Cfdp1
143	TIMM17B	__Denr	__Pin1	STAMBP	PSMD9
144	CMPK1	HTT	__Ccnl1	CAND1	ADD3
145	__Traf3ip3	__Zcrb1	JUN	__Pias1	__Gata3
146	__Gltp	__Etf1	APOBEC3C	__Dnajc5	__0610010K14Rik
147	__Tcerg1	PRPF19	__Supt16	POLR2J	WDR18
148	__Emd	GINS2	__Dcxr	__Map2k2	CARS
149	__Zfp106	__Snrnp27	CEP128	HRH2	RCBTB2
150	ITPR1	PPP2R5E	__Zcrb1	__Ap3b1	__Ssbp2
151	__Smg1	UBE2M	TLK1	__Rnf114	RIF1
152	SLC25A39	__Mia2	FERMT3	LINC01572	__Tpp2
153	RABEP1	__Surf4	NDUFS4	__Pkn2	__Ctbp1
154	UBR2	OSM	MRPL55	ZAP70	SGO2
155	__Sys1	__Agpat5	MARK3	FNTA	SLC39A8
156	TNRC6A	RECQL	POLR2A	DSTN	FIBP
157	__Ddx17	POU2F1	__Ccdc124	__Klhl32	GOLGB1
158	CAMTA1	RASA2	__Itpr2	RALB	COPB1
159	CAMTA2	__Kars	__Kdm5a	__Etnk1	AHNAK
160	ACOT7	CAMTA2	__Trerf1	SLC7A1	CHCHD1
161	__Dnajc3	__Cops6	GRK6	SNRNP200	__Ncapd3
162	PBRM1	CHEK1	__Pdcd6ip	__Eloc	__Esyt2
163	TM9SF3	__Mphosph8	__Acat2	CNOT4	__Dnajc3
164	TNKS	__Lamp1	ARL15	__Pcmt1	SSR1
165	__Cenpx	__Pmf1	BRWD1	__Vav3	LYST
166	__Sh3bp1	__Mrps18c	MLLT6	__Ptges3	POLR2F
167	POU2F1	__Trim27	__Fundc2	IFNAR2	__Supt16
168	DCP1A	__Kif20b	__Rbck1	TAOK1	__Dcps
169	__Timm17b	SEC13	SVIP	__Ect2	MED13
170	__Eif4g3	__Mrpl4	__Cenpx	__Itpr2	CLEC16A
171	__Pafah1b3	__Fam120a	__St8sia4	__Sfxn1	HRH2
172	__Mrpl4	__Ep400	__Ddx3x	__Rasa1	CPSF6
173	__Dock11	AFTPH	SRSF1	__Ipo5	CENPX
174	__Kif20b	__Acsl4	__Elovl5	HMG20B	__Oip5os1
175	__Scd1	COPB2	CENPW	GPRIN3	CYB5B
176	ARL3	TNKS	POLR2F	SPATA5	OSBPL10
177	EBNA1BP2	EBNA1BP2	TMEM165	MBNL2	CRTC3
