rank	split_69001	split_69002	split_69003	split_69004	split_69005
817	CDKN2D	TET2	XPO6	SLC25A36	SBF2
818	__Msmo1	__Gm13546	PUF60	__Tuba1c	__Bhlhe40
819	__Ubl3	__Mdfic	RICTOR	__Sap18	__Aimp1
820	EPC1	PDK3	__Rgcc	__Flna	LBR
821	ALKBH7	ETFA	__1810026B05Rik	__Cd48	__Snrpa1
822	AARS	__Luc7l3	XKR6	DYM	__Kif15
823	__AI662270	__Stt3b	BCAP31	__Gm11808	MAP1LC3B
824	CD69	__Actr2	TBC1D4	FNIP1	__Il24
825	__Cnot6l	DLG1	ICAM3	ST6GAL1	MRPL17
826	__Knl1	SMAD2	CBFB	MRPL23	__Luc7l3
827	__Snx20	CHSY1	__Acsl5	__Ppp1r11	POLR2G
828	__Psmd2	PRDX3	UFM1	CHURC1	PSMD1
829	__Stip1	DCTPP1	__Tnfaip8l2	TUBA1A	CUL3
830	__Ccni	__Srgap2	NDUFB1	__Rassf1	__Ctcf
831	LMNB1	NT5C	NUP153	__Tram1	__Clint1
832	__Rab14	__Tln1	SYNE2	__Chchd3	__Strn3
833	__Eif1ad	ANKRD36C	__Faf1	FCHSD2	__Cenpw
834	VDR	ATG7	__Rpp21	__Zfp36l2	__Ndufv2
835	__Hmmr	AKT3	MRPL27	CAMK1D	ERC1
836	__Ghitm	__Msmo1	__Fam133b	RBBP7	__Ramp1
837	MTF2	__Hnrnpul2	ERC1	MRPL14	__Ost4
838	DDX3Y	KDM4C	__Aurkb	__1810058I24Rik	PHF14
839	R3HDM1	BTG2	__Tardbp	PJA2	PDS5B
840	__Stub1	VASP	AARS	__Imp3	__Selenos
841	ATG7	__Stip1	__Apbb1ip	PHC3	PCSK7
842	MRPL22	__Nucb1	__Cdv3	__Commd3	__Psma5
843	ETFA	__Ppm1h	MVP	OSTC	__Nudcd3
844	PFDN4	__Apbb1ip	__Tm9sf3	__Otulin	__Cd44
845	PPP1CB	AARS	PIAS1	__Npm3	GPATCH8
846	__Apbb1ip	HINT2	__Vti1a	MIER1	XRN1
847	IL21R	__Immp2l	PITPNB	__Yif1b	__Tasp1
848	DEF6	__Cd4	__Ythdc1	ANP32A	__Smg1
849	__Mrtfa	FDXR	__Ube2k	__Acin1	__Vps54
850	__Nucb1	SUPT4H1	__Dnajb1	__Tbc1d10c	__C1qbp
851	RHOF	__Dgkz	__Rassf1	SEC31A	NDUFA2
852	__Tln1	__Psma5	__B4galnt1	KDM6A	__Enox2
853	KIF2C	ADTRP	MIR181A1HG	SRP72	LARP4B
854	PRDX3	__Chd7	__Mat2a	OXSR1	__Aip
855	ZDHHC14	__Chtop	__Bcl7c	MAPKAPK3	XPO6
856	__Larp4b	RNF167	CEP350	__Rab24	__Chtop
857	__Rdx	PSMD3	__Chtop	SCAND1	HNRNPUL2
858	__H2-Q6	FASN	RFC3	__Ogt	__Spidr
859	__Immp2l	__Psmc1	PPP2R2A	__Rab10	CAPNS1
860	UGP2	__Larp4b	TENT2	TMEM173	PTBP3
861	__Casp8	__Tomm5	MLEC	__Cit	PPP2R2A
862	__Hsbp1	CD69	__Ptp4a3	__Spidr	__Fam120a
863	NCK2	POLR2I	BAZ1A	NBAS	__Mrpl14
864	RNF167	POLR2J	__Napa	__Ctsz	RICTOR
865	SMAD2	ITM2A	ATF7IP	NSMCE1	__Lsm5
866	POLR2J	__Pum2	__Aebp2	SETD2	ATF7IP
867	__Sar1a	ITM2C	CHCHD3	FKBP4	PEAK1
868	__Psmc1	CDKN2D	__Mrpl14	TRIP12	CD3G
869	TMEM50A	KIF2C	KIF2C	__Eif4g3	__D16Ertd472e
870	__Mrps26	UGP2	__Ctsb	ZNRF1	__Polr2e
871	RTF2	__Ptpn6	CHURC1	CLDND1	OSTC
872	WDR18	__Hsbp1	__Tasp1	UBE3C	EXOSC8
873	__Stt3b	__Vmp1	__Gpbp1	__Actn4	CEP350
874	__Polr2e	AURKA	RHOC	__Tln1	HIF1A-AS3
875	KAT6A	WDR18	ZFP36L2	__Polr2f	FADS2
876	FERMT3	ZDHHC14	GSPT1	VGLL4	__Chchd3
877	DLG1	__Dgkd	__Pola1	__AU020206	__Ubl3
878	ATF3	__Huwe1	__Commd3	ATP6V1F	NSRP1
879	ANKRD36C	__Kmt2a	PFDN6	FKBP5	SLA
880	REXO2	REXO2	__B4galt1	SMS	UBE2T
881	__Sdha	ZCRB1	__Ypel3	NUCB1	__Chd7
882	HBS1L	__Hmmr	__Psmc6	AHSA1	ATAD5
883	__Ppm1h	MAP1LC3B	SPAG9	SP3	PITPNB
884	__Atxn10	LITAF	__Dock8	__Aff4	__Ms4a4c
885	__Znhit1	ATF3	SSB	__Sf3b6	PARVB
886	__Mdfic	ACAP2	__Selenof	TRIM38	__Taok3
887	__Ywhaq	SUZ12	__Zdhhc18	__Mrps21	__Snhg6
888	__Tipin	CDCA5	__Snrpa1	__Nampt	__B4galnt1
889	__Ubl4a	__Sell	SDHA	UBE2T	__Psmc6
890	ITM2C	__Mydgf	__Fzr1	__Topbp1	XKR6
891	CDK19	SDF2L1	LMNB1	ATP1A1	CABIN1
892	__Pcmt1	FERMT3	NCAPG2	MORF4L2	BAZ1A
893	__Ptpn6	APOBEC3C	__C1qbp	PCSK7	__Bcl7c
894	__Kmt2a	PGLS	BTG2	SLBP	IDH2
895	ITM2A	SRSF9	THOC2	OSBPL10	SYF2
896	POLR2I	MRPL22	CSNK2A1	__Stk4	__Tardbp
897	APOBEC3C	TMEM50A	MORF4L2	__Fkbp2	DHX36
898	EMC6	DEF6	POLR2G	__Exosc8	__0610012G03Rik
899	__Jaml	TTC17	RBMS3	HNRNPUL2	BCAP31
900	OSTC	GNPTAB	__Mrpl42	HDAC8	PFDN6
901	RFLNB	PUF60	GPATCH8	RASA2	__Tomm5
902	__Acp5	__Ywhaq	__Sptbn1	__Rwdd1	__Rab24
903	MRPL27	NDUFA2	ARPP19	__Ppp1cb	__Rasal3
904	__Cmtm7	__Tipin	__Sik3	SUMO3	SLC9A3R1
905	__Acsl5	__Peli1	__Ctcf	ATP11B	MRPL14
906	__Ube2k	__Pcmt1	VDR	CCDC12	__B4galt1
907	__Dynll2	__Ube2k	__Thoc2	__Thoc2	FASN
908	__Commd3	NFIL3	__Tomm5	__Gm13546	__Dgkz
909	__Ddrgk1	RHOF	__Enox2	UBXN1	__Cdk12
910	FKBP4	__Wdr33	__Rbm42	ADD1	IGFBP2
911	CNOT1	__H2-Q6	__Ndufb6	AL138720.1	ZC3H12D
912	__Rnf187	SEPTIN2	PHF20	METTL15	RAB27A
913	__Hnrnpul2	__Snx20	__Strn3	__Adam19	PIAS1
914	__Aamp	__Sdha	__Peak1	RBM17	RBBP7
915	PDK3	__Mrtfa	PPP1CB	RIOK3	__Mkln1
916	NFIL3	RTF2	RPS6KA3	__Dock11	ZNF644
917	__Actr2	__Aamp	RAB5IF	__Bola2	VDR
918	BTG2	PHF20	LBR	__Chtop	__Pola1
919	CDKN3	PSAP	__Gm11808	__Mrps14	__Ddx17
920	__Mrpl28	__Spidr	LEF1	MRFAP1	__Nop56
921	PCSK7	__Cit	__Itgb2	__Cox14	__Ostf1
922	GNPTAB	BCLAF1	KAT6A	KLF13	CDKN1A
923	TET2	PTEN	FASN	__Taok3	CHCHD3
924	ADTRP	__Dpm3	COX7A2L	H2AFX	CNPY2
925	__Sell	__Znhit1	PMVK	__Itgal	__Aurkb
926	__Pabpn1	EMC6	PDS5B	KDM4B	__Ypel3
927	CDCA5	__Atxn10	__Smg1	__Dennd1b	FAM133B
928	SEPTIN2	OSTC	PARVB	__Rfc2	__Zdhhc18
929	KDM4C	__Ubl4a	PSMD1	ETHE1	PPAN
930	__Fzr1	MRPL27	SCAND1	DCXR	__Rab10
931	__Sash3	DYNC1H1	__Bcas2	__Exoc6b	__Acp1
932	ZCRB1	__Ctsz	__Ddx17	__Glg1	GTF3C6
933	AKT3	RBM26	__Tln1	__Kif22	__Commd3
934	MAP1LC3B	__Acp5	ATP13A3	PPP4R2	__Add1
935	COX7A2L	__Sash3	__Il21r	__Nrn1	SLC5A3
936	LITAF	__Acsl5	BANP	__Mapk1	__Dnajb1
937	__Huwe1	__Commd3	PGP	USP22	RFC3
938	__Ddt	__Mrpl28	__Phf5a	__Gab2	NDUFA7
939	TGFB1	__Hnrnpr	CD3G	__Cul3	__Phip
940	__Luc7l3	__Clybl	__Ctsz	ANKLE2	NCAPG2
941	DKC1	__Stk17b	__Rala	__Atad2	SPAG9
942	__Dgkd	__Gm11808	SLC9A3R1	__Herc1	CD69
943	AC016831.7	COX7A2L	__Knl1	__Pstpip1	__Ambra1
944	DYNC1H1	TMUB1	ZNF644	SAT1	UBE2Z
945	__Spidr	__Ppp3cc	__Mbd2	ADAM10	NUP153
946	STIM1	GSDMD	KRT10	__Ramp1	__Runx3
947	SLA	DHX36	__Vps54	__Mt2	LRPPRC
948	__Dnajc1	__Sar1a	__4930523C07Rik	SLA	CMIP
949	MRPL17	__Papola	__Gm13546	RNASEH2C	POLA1
950	NDUFA2	__Dynll2	__Tcf12	KDELR1	__Ctsd
951	__Xpo1	__Dnajc1	CEMIP2	NDUFC1	__Hnrnpr
952	MTHFD1L	MTHFD1L	CNPY2	__Itpkb	BCLAF1
953	__0610012G03Rik	PDCD6	__Pacs1	PDK1	__Rbm42
954	YEATS2	CEMIP2	__Rrm2	MCM5	TBC1D4
955	__Ndufv2	__Xpo1	__Add1	__Ube2a	DYNC1H1
956	VAMP8	RAB10	__Use1	CASP3	ADAM19
957	DMAC1	PIP4K2A	ATAD5	IMMT	__Gm2a
958	PHF20	__Top1	__Rnf187	__Ubl3	__Mrpl42
959	__Wdr33	__Jaml	ROMO1	__Sugt1	__Gpbp1
960	PSAP	__Asf1b	PRRC2B	ZNF267	__Nrn1
961	__Cd4	RFLNB	__Spidr	__Smc3	__Phf5a
962	__Papola	PCSK7	__0610012G03Rik	__Tacc3	__1810026B05Rik
963	SUZ12	SLA	CHD1	PRKRIP1	PRRC2B
964	__Nfatc3	__Fzr1	HNRNPH1	AIP	DNAJC8
965	TTC17	__Mrps26	__Bri3	__Tomm5	COX7A2L
966	CHSY1	__Nfatc3	__Ambra1	UBE2N	__Bri3
967	__Gm16286	BANP	__Ddost	INPP4A	CHURC1
968	COPS6	LAGE3	__Cd4	__G3bp2	TMEM131L
969	LAGE3	__Ddrgk1	__Cmtm7	ARFGEF1	ALKBH5
970	__Mrfap1	ALKBH7	PCSK7	ZMYND8	ATG7
971	__Pum2	__Lsm5	__Psmd7	__Cbl	CHD1
972	RAB10	__Ctsd	__Tomm40	RAB1A	__Dnajc1
973	PDCD6	__Stub1	HBS1L	__Hnrnpr	SCAND1
974	__Hnrnpr	DKC1	EXOSC8	UFM1	__Mrps15
975	MLEC	AC016831.7	NPM3	URI1	RAB10
976	__Cyb5b	__Thrap3	BCLAF1	EIF1AY	__Tcf20
977	__Mrpl14	YEATS2	__Rab10	__Snrnp25	__Eloc
978	__Mvd	DMAC1	__Mkln1	__Pfdn6	GADD45A
979	__Lamtor1	SCLT1	KIF22	TERF2IP	CCDC124
980	__Eif4e2	__Eloc	__Eif4a3	BANP	RBM25
981	MVP	CHURC1	__Dynll2	DENND1A	TENT2
982	ACAP2	MCM6	RBBP7	__Knl1	DPP7
983	TMUB1	__Ndufv2	TIAL1	ARGLU1	__Stard4
984	__Rab24	TIAM1	__Tuba1c	AGTPBP1	ENOSF1
985	__Prkcq	__Syncrip	__Hnrnpr	__Ech1	BANP
986	BANP	__Man1a	APEX1	__Rnf187	MT-ND6
987	__Kpnb1	TGFB1	__Rab24	__Stard4	RPS6KA3
988	RNF126	__Cenpp	ATF3	GALM	__Atp10a
989	__Pmvk	FKBP4	CDC123	BCLAF1	DDHD1
990	SCAND1	C22orf34	SP100	__6430571L13Rik	ALKBH7
991	LEPROTL1	IVNS1ABP	__Stub1	ABI1	__Rpp21
992	BCLAF1	__Eif4e2	TMEM173	ADNP	__Map4k4
993	RBM26	RSRC1	BIN1	__Ndufa10	__Yif1b
994	TWF2	__Prkce	BRAF	__Ccdc50	LEF1
995	__Ppp3cc	FBXW7	GSK3B	CDV3	__Rnf187
996	__Prkce	__Cmtm7	__Rcbtb1	__Hmmr	__Tcf12
997	__Man1a	ZFP36L2	LEPROTL1	__Fndc3a	AHSA1
998	VSIR	__Ddt	R3HDM1	CISD3	TMEM173
999	__Rnf114	__Stat3	PRKAR1B	RNF144A	__Hemk1
1000	FBXW7	__Rnf187	AURKA	PHF19	__Psmc4
1001	__Asf1b	__Stat4	FNDC3A	ODC1	__Ahnak
1002	__Syncrip	__4930523C07Rik	__Ppp1r11	DUSP16	__Sltm
1003	__Napa	__Lcp2	PSMD11	__Knstrn	ARL2
1004	RSRC1	VSIR	__Cit	TIAL1	PMVK
1005	__Ube2a	MAGOH	__Ahnak	__Dynll2	LMNB1
1006	TIAM1	LEPROTL1	ACTR1B	NCKAP1L	RHOC
1007	DHX36	__B4galnt1	CNOT1	__Cbfb	PGLS
1008	RAB5IF	PFKFB4	EPC1	TRABD	CDC20
1009	__Cit	FNBP4	__Ostc	PITPNB	__Ctsb
1010	__Mcm5	MLEC	DDHD1	CDKN3	__Mcm5
1011	__Aip	__Prkcq	__Glg1	ADGRG1	__Dpm3
1012	__C1qbp	THOC2	__Tcf20	CAPG	__Hdac1
1013	__Dennd1a	TIAL1	__Mrps33	__Hist1h2ae	__Ube2a
1014	PFKFB4	COPS6	__Psmb10	BUB3	RSRC1
1015	PTEN	CEP192	__Scp2	ENY2	PHF21A
1016	__Rab10	PPP1R16B	FKBP4	XRN1	SP100
1017	__Peli1	VAMP8	__Rab5if	COX7A2L	__Itgb2
1018	__4930523C07Rik	HIPK2	CDKN1A	POLD4	__Stat3
1019	CHURC1	TWF2	__Runx3	RGCC	__Nsd1
1020	__Clybl	SRP54	SRP54	__Mat2a	TADA3
1021	__Stat3	__0610012G03Rik	__Atp10a	CABIN1	TIAL1
1022	SCLT1	KLF12	HM13	__Rbbp4	BIN1
1023	NUDT5	__Nfat5	__Selenos	__Kpnb1	__Eif3g
1024	TIAL1	MRPL17	__Ube2a	GADD45A	EIF3J
1025	ZFP36L2	__Dennd1a	DDX3Y	PLEC	KRT10
1026	MCM6	__Smarca5	CD69	PTBP3	__Prkce
1027	MRPL14	__Ubxn4	AGO2	MRPS18B	__Tm9sf3
1028	__B4galnt1	__Cyb5b	PPAN	COPA	__Itpkb
1029	PIP4K2A	__Fdft1	NDUFAF3	__Tapbp	__Pacs1
1030	C22orf34	__Mrpl14	FAM133B	ITPR1	ICAM3
1031	__Tubb6	__Mvd	PHACTR2	__Polr2e	__Rfc1
1032	__Rnaseh2c	__Aip	__Chchd3	__Puf60	WDFY1
1033	FNBP4	BACH1	UBE2N	CNOT6L	H2AFX
1034	__Tnfaip8l2	__Nfatc2	__Acot7	ARPP19	__Dynll2
1035	__Chchd3	NDUFA7	__Phip	__Oga	VPS29
1036	RBBP7	__Napa	SLBP	__Elf4	__Aebp2
1037	__Top1	__Mrfap1	DYNC1H1	__Fryl	EPC1
1038	__Ubxn4	CCDC88C	MCTP2	__H2-Q4	CD55
1039	IVNS1ABP	__Pik3r1	SLA	__Gars	ATP5PD
1040	__Tomm40	NUDT5	__Erh	PUM3	__Use1
1041	UBE2T	PTPN22	ENOSF1	__Phf21a	__Gars
1042	MAGOH	__Rab10	DAZAP1	PSMD1	TRABD
1043	__Lcp2	__Polr2e	ADAM19	PPIG	__Rbm17
1044	__Psmd11	__Kpnb1	__Pole4	TCERG1	GALM
1045	BACH1	__Arid4b	MRPL14	__Rnps1	ZDHHC12
1046	__Aurka	UBA2	__Stard4	__Ssna1	ATP1B3
1047	THOC2	SMAD3	REV3L	__Map4	PHACTR2
1048	TMEM173	GTF2I	__Ralbp1	RAB27A	__Ppp1r11
1049	__Agpat3	XYLT1	__Mrps15	PAG1	__Mdfic
1050	__Thrap3	CDKN3	__Tapbp	__Sltm	TACC3
1051	__Cenpp	SRPK1	UBE2T	FASN	DDX6
1052	__Stard4	DAZAP1	__Kpnb1	__Mcm5	__Wdr33
1053	__Ppp1r11	OIP5-AS1	PHF21A	RER1	BRAF
1054	__Batf3	MORF4L2	__Eif3g	TTC39C	__Rab5if
1055	__Stk17b	MVP	PDK3	PPP2R1A	__Selenof
1056	NDUFA7	__Rnf114	__Psmc4	__Tyms	NUP62
1057	MPG	RBBP7	__Atp1b3	SRI	MORF4L2
1058	__Fdft1	ALKBH5	POLD4	ATP1B3	IMMT
1059	CEMIP2	ATAD5	MRFAP1	SAE1	__Bcas2
1060	__Psmc6	RNF126	ATG7	__Cd5	__Kpnb1
1061	UTRN	__Tubb6	CISD3	STOML2	__H2-Q4
1062	SRPK1	__Rras2	__Tacc3	XKR6	ACTR1B
1063	ALKBH5	NDUFC1	MCM6	__Gm2a	CBFB
1064	UBA2	GLUD1	VPS29	__Cd44	R3HDM1
1065	__Ssna1	RAB5IF	DYRK1A	__Dnajc8	__Ddost
1066	POLD4	__Stard4	__Hmmr	AP3B1	__Ndrg2
1067	__Nfatc2	MXI1	__Polr2e	__Tra2a	KAT6A
1068	UBE2B	__Psmc6	TRABD	PHF14	GSK3B
1069	__Smarca5	__Rab24	NSRP1	FADS2	__Clybl
1070	__Yif1b	__Lamtor1	TADA3	CSNK2A1	ATF3
1071	NSA2	UBE2B	__Stat3	ANKRD10	SLBP
1072	CEP192	__Zfp148	RAB10	UQCRC2	__Sugt1
1073	__Eloc	SLC9A3R1	__Ssna1	USP37	SNHG5
1074	__Gstp3	MRPL14	SNW1	C7orf50	__Dnm2
1075	__Dpm3	__Chchd3	__Ppm1h	__Itpr1	DDX3Y
1076	__Taf10	__Lsm7	PGLS	RBIS	CYBC1
1077	SRP54	__Psmd11	IMMT	VKORC1	PHGDH
1078	SLC9A3R1	SCAND1	LINC01578	__Purb	__Gm16286
1079	__Gars	ATP5PD	__Wdr33	HM13	__Cnot1
1080	__Stat4	__Pabpn1	__Clybl	__Rab5c	CISD3
1081	__Arid4b	PFDN6	SEPTIN2	TNF	ATP13A3
1082	CDC123	__C1qbp	__Actr2	NOP56	GOLGA8A
1083	__Nfat5	__Csde1	__Cd48	__Chchd1	POLD4
1084	HLA-DRB1	NIPBL	__Polr2f	ZC3H12D	UBE2N
1085	CABIN1	__Nudcd3	__Rasal3	CYBC1	TUBA1A
1086	RUVBL2	TRPM7	__Gstp3	CD3G	__Eif4a3
1087	__Csde1	__Psip1	__Mdfic	CD55	__Agpat3
1088	XYLT1	UFM1	__Ntrk3	__Tardbp	__Senp6
1089	UBE2N	UTRN	__Yif1b	TRERF1	__Ndufa5
1090	__H2-Q4	__Tnfaip8l2	GTF3C6	__Agpat3	__Map2k2
1091	TRABD	__Ndufb2	__Map4k4	ATP6V0C	DYRK1A
1092	PPP1R16B	CYLD	__Snrpa	__Ddx39	__Sap18
1093	KLF12	ARID1A	ALKBH7	VDR	DCXR
1094	PPAN	__Aurka	AP3S1	LAMTOR1	BTG2
1095	__Pik3r1	HM13	__Hdac1	SRP54	GLUD1
1096	HM13	__Ube2a	__Nampt	POU2F2	HBS1L
1097	__Nudcd3	RUVBL2	SIAH2	RBL1	SRP54
1098	CCDC88C	__Ndufa5	__Man1a	__Dnajc7	EIF5
1099	__Lsm5	__Pan3	__Stat4	ZNHIT1	TTC39C
1100	DPP7	DPP7	FAM172A	__Tmem256	APEX1
1101	__Rab5if	__Agpat3	__Agpat3	__Cycs	__Ssna1
1102	__Zfp148	SREK1IP1	__Chchd1	__Dnm2	__Rab8a
1103	__Pan3	TMEM173	ARL2	DDX50	RNH1
1104	__Dctn3	CHCHD3	__Lcp2	TNRC6A	LEPROTL1
1105	DAZAP1	NSA2	__Polr2j	KCNN4	SEPTIN2
1106	MORF4L2	__Pmvk	ESD	RFX3	__Psmb10
1107	__Psip1	UBE2T	__Hnrnpul2	__Paxbp1	MCM5
1108	MXI1	HLA-DRB1	TUBA1A	PIAS1	ETHE1
1109	PARVB	OSBPL8	__H2-Q4	RFC3	__Snrnp25
1110	__Tmem14c	PARVB	KLF12	OLA1	__Knstrn
1111	RHOC	__Caprin1	__Cenpp	TACC3	HM13
1112	__Tspan13	BAZ1A	__Sugt1	__Ubap2l	MRFAP1
1113	CYLD	__Cbx5	KDELR1	__Stag2	ADRM1
1114	PFDN6	__Atp1b3	__Ctsd	DYNC1H1	__Scp2
1115	OIP5-AS1	RHOC	HNRNPH3	STAG2	__Nfatc2
1116	LYRM4	__Ppp1r11	__Paip2	THRAP3	MPG
1117	__Rala	__Smg6	RAB1A	CSNK1G1	SUMO3
1118	KRT10	__Selenos	GLUD1	__Stat3	__Tacc3
1119	CD81	KRT10	MPG	__Lrrfip1	LYRM4
1120	ATAD5	__Polr2j	__Ndrg2	__Wdr1	KLF12
1121	__Erh	__Gm16286	__Cdk12	__Wac	__Mbd2
1122	BATF3	ABCC1	__6430571L13Rik	__Wapl	AGO2
1123	OSBPL8	UBE2N	OLA1	__Grb2	__Cbx5
1124	GLUD1	MPG	__Baz1b	__Cyth1	REV3L
1125	CHCHD3	__Zeb1	UPF2	GLUD1	UTY
1126	CISD3	SLBP	NUP62	SNRPB2	__Arid4b
1127	HIPK2	__Fam133b	__Cnot1	__Ighm	__Stat4
1128	TRPM7	VAMP2	EIF3J	UBE2Z	ATP6V1F
1129	GTF2I	__Rala	__Mcm5	RB1	ESD
1130	PRKAR1B	__Gstp3	PET100	TLN1	FNDC3A
1131	POLR2G	LYRM4	UBA2	RPA3	__Papola
1132	__Rras2	CFDP1	__Mcl1	__B4galt1	__Tapbp
1133	NIPBL	CD28	__Acp1	__Paip2	__Baz1b
1134	KIF22	CHD1	ATP6V1F	VPS28	__Kdm2a
1135	__Mrpl42	__Rnaseh2c	NCKAP1L	AKAP9	__Cd4
1136	PTPN22	__Gars	__Gars	TBC1D4	__Lcp2
1137	IMMT	OLA1	TGFB1	__Irf8	__Pkp3
1138	__Lsm7	__Ppig	RSRC1	__Nap1l4	FAM172A
1139	__Atp1b3	__Ssna1	__Nsd1	__Taf1d	__Tnik
1140	NDUFAF3	TRABD	TTC39C	MED10	TCERG1
1141	__Ypel3	__Dctn3	ETHE1	RICTOR	OCIAD2
1142	ATP5PD	AC004687.1	__Dnajc1	__Nans	__Gadd45g
1143	__Cbx5	__Tspan13	DLG1	LEPROTL1	__Acin1
1144	__Polr2j	__Rrm1	C1orf43	__Cbx5	SCLT1
1145	__Tapbp	CDC123	SMAP1	CD69	__Rfc2
1146	ABCC1	CDKN1A	__Cd5	__Pmepa1	MRPS18B
1147	RABAC1	STAT4	ACAP2	__Ntrk3	RBMS3
1148	OLA1	__Mcm5	__Ndufa1	ATF3	__Fubp1
1149	SREK1IP1	IMMT	ARPC4	__Mapre1	DDX46
1150	__Zeb1	PMVK	__Tyms	SSU72	SRPK1
1151	__Ndufb2	REL	AKT3	__Hivep2	__Pole4
1152	__Rrbp1	RFX7	SUMO3	AOPEP	__Mrps33
1153	__Dnm2	__Klf6	RER1	CMIP	__St3gal4
1154	VAMP2	GNAQ	__Ppp3cc	DNAJB6	NCKAP1L
1155	SATB1-AS1	ARID2	TET2	ANKIB1	DIAPH2
1156	TNFRSF14	CABIN1	MCM5	XPO6	FNBP4
1157	TNIK	__Tomm40	CCDC124	__Yy1	MCM3
1158	PMVK	__Rab5if	__Senp6	PRPF40A	__Tbc1d10c
1159	SLBP	__Csnk2a1	__Kdm2a	__Fkbp4	__G3bp2
1160	__Sugt1	ADGRE5	__Papola	BTG2	C7orf50
1161	__Selenos	POLR2G	__Rab8a	__Zc3h15	SYNGR2
1162	AL109930.1	__Tacc3	OCIAD2	__Lrba	PPP1CB
1163	VAPA	__Ddx6	SMAD2	CMPK1	RAB1A
1164	__Chchd1	PRKAR1B	__Tut4	CSGALNACT2	SIAH2
1165	__Sltm	TACC1	SSU72	__Igf1r	__6430571L13Rik
1166	GNAQ	IL2RB	__Stk17b	RRM1	MAPKAPK3
1167	AC004687.1	YME1L1	__Knstrn	PPP1R15A	__Acot7
1168	ATP1B3	__Nsmce2	MRPL37	__Cwc15	__Ostc
1169	CD28	__Csnk1g1	__Cnot6l	MPG	NDUFB1
1170	__Mrps15	ARRB2	__St3gal4	__Gls	PDK3
1171	UPP1	EML4	__Rras2	LMNB1	PPP4R2
1172	__Fubp1	__Rsrc1	UBE2B	CFDP1	__Larp4b
1173	__Celf1	__Celf1	__Dgkz	NOSIP	__Man1a
1174	RER1	__Mtmr3	FAM120A	CEMIP2	__Snw1
1175	NFKB2	__1700025G04Rik	ZDHHC12	__Tmed2	RNASEH2C
1176	CHD1	SMG1	ARID1A	UBE2L3	UPF2
1177	BCAP31	__Gdi1	IVNS1ABP	__Dock8	__Snrpa
1178	MRFAP1	__Tapbp	CFDP1	__Sertad1	RER1
1179	__Gdi1	CAMKMT	RNASEH2C	__Peak1	RTF1
1180	__Snrpa1	__Snrpa1	__1700025G04Rik	SYNE2	__Nampt
1181	__Smg6	__Fubp1	H2AFX	__Nr3c1	IDI1
1182	__Ppig	SP100	__Tk1	CAPNS1	__Ppm1h
1183	__Rrm1	__Pbrm1	TTC17	__Atp1b3	MRPL37
1184	ARID2	__Rbm42	__Map2k2	__Bcl7c	__Mier1
1185	__Etv6	__Dnm2	IDI1	__Abracl	__Ndufb6
1186	__Rbm42	POLD4	RRM1	HNRNPH1	RRM1
1187	__Taok3	__Sugt1	ATP1B3	GPATCH8	__Elf4
1188	ARL2	__Taok3	__Larp4b	SBF2	__Rnps1
1189	__Use1	__Ypel3	__Tbc1d10c	LBH	__Kmt2a
1190	__Caprin1	__Sltm	__Stt3b	__Txnip	CDKN2D
1191	__Klf6	KAT2B	__Snrnp25	ERC1	__Prkcq
1192	__Rsrc1	PPAN	UTY	RSRC1	__Lamtor1
1193	SMAD3	SMAP1	DDX50	__Zfp706	GNPTAB
1194	MCM5	TNIK	__Pkp3	__Ptpa	BUB3
1195	__Psmb10	__Chchd1	DCXR	MON2	OLA1
1196	YME1L1	CISD3	SYNGR2	ARIH1	__Polr2f
1197	SMG1	KIF22	__Bex3	__U2surp	CFDP1
1198	__Ccna2	EIF3J	__Nfatc2	__Eif4a2	__Immp2l
1199	__Sec11c	__Cnot4	GTF2I	__Sp100	FAM120A
1200	ARRB2	NR3C1	__Abracl	ZNF644	KIF20B
1201	FBXO11	TUBA1A	FNBP4	TRAP1	DAZAP1
1202	CYBC1	BCAP31	__Rfc1	__Dnajc1	CDK2AP2
1203	BAZ1A	__Tmem14c	__Kmt2a	__Wdr33	TGFB1
1204	UFM1	AIMP1	IDH2	__Diaph2	C1orf43
1205	__Rgcc	__Rpp21	__Gm16286	__Agfg1	__Hnrnpul2
1206	__Ndufa5	MRFAP1	__Nt5c	__Ndufa1	__Pmvk
1207	CDKN1A	VPS29	__Dnm2	ALKBH7	SMAD2
1208	ETHE1	SYF2	CXCR4	HIVEP2	ACAP2
1209	H2AFX	__Yif1b	__Bola2	__Zmiz1	VAPA
1210	VPS29	VAPA	C22orf34	USP12	CNOT1
1211	__Snrnp25	RRM1	DIAPH2	__Phf5a	SF3B1
1212	__Knstrn	ATP1B3	__Immp2l	LSM14A	DLG1
1213	PTPRA	PTPRA	LYRM4	NFKB2	C22orf34
1214	TXNL4A	__Mrpl42	GNPTAB	__Kif15	MCM6
1215	CAMKMT	RABAC1	RBM25	DDX39A	NFKB2
1216	TADA3	NDUFAF3	__Sap18	RAB10	__Pfdn6
1217	ATP6V0B	__Rrbp1	__Nfatc3	DAZAP1	__Mcl1
1218	__Tacc3	FBXO11	DNAJC8	NKTR	OSBPL8
1219	__Got2	__Rgcc	__Arid4b	HIF1A-AS3	__Mrps14
1220	DCXR	__Psmb10	__Snw1	__Faf1	__Eva1b
