n_sites	signed_fraction_all	signed_fraction_responsive20	signed_fraction_predicted20	all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	predicted20_cosine	predicted20_spearman	predicted20_direction	top20_recall	top20_overlap_direction	response_auroc_abs_pred	pred_abs	real_abs	model	comparison_id	comparison_index	perturbation	target_genes	n_mapping_rows	retrieved_target_comparison	retrieved_target_baseline_comparison
32	0.96875	0.8571428571428571	1.0	-0.010077750766137367	-0.06158357771260996	0.4838709677419355	0.22171150026716102	0.21428571428571433	0.6666666666666666	0.05211328528562881	0.21428571428571433	0.2857142857142857	0.42857142857142855	0.6666666666666666	0.4514285714285714	0.06869570510843914	0.8140220176428556	ridge_signed_target	p100_delta_00072	72	Imatinib	ABL1;KIT;PDGFRB	36		
32	0.75	0.5714285714285714	1.0	-0.33571231389952455	-0.0035095256277857425	0.5416666666666666	-0.535489908457396	0.11118739749916519	0.5	-0.7252081831560674	-0.39285714285714296	0.2857142857142857	0.2857142857142857	0.0	0.42	0.09543536658748053	0.8140220176428556	retrieval_target	p100_delta_00072	72	Imatinib	ABL1;KIT;PDGFRB	36	decryptm_delta_00020	
32	0.8125	0.7142857142857143	1.0	0.06053484727299653	-0.03861378821414958	0.4230769230769231	0.5242800320646944	0.198206241793023	0.8	0.35464657754221224	0.28571428571428575	0.42857142857142855	0.2857142857142857	1.0	0.4514285714285714	0.13442132156342268	0.8140220176428556	retrieval_target_baseline	p100_delta_00072	72	Imatinib	ABL1;KIT;PDGFRB	36		decryptm_delta_00038
32	1.0	1.0	1.0	0.8816258570262254	0.8588709677419353	0.78125	0.9522592416888569	0.8214285714285715	1.0	0.9509316505496352	0.8928571428571429	1.0	0.8571428571428571	1.0	0.9828571428571429	0.06183194139157422	1.0352614363655448	ppko_v10b	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	1.0352614363655448	zero_vector	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36		
32	0.0625	0.14285714285714285	0.2857142857142857	0.17750875975771452	0.11185803039492456	0.5	0.4253307067250271	0.6123724356957946	1.0	0.3310634974637045	0.15811388300841894	0.5	0.2857142857142857	1.0	0.5514285714285714	0.004181223455816507	1.0352614363655448	direct_kinase_substrate	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36		
32	1.0	1.0	1.0	-0.001871813328753792	0.05461876832844574	0.5625	0.3493271925095363	0.5	0.5714285714285714	-0.0013889718010012986	0.14285714285714288	0.5714285714285714	0.5714285714285714	0.75	0.7428571428571429	0.010270947289936716	1.0352614363655448	graph_heat_diffusion	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36		
32	0.96875	1.0	1.0	-0.007250606379851424	-0.23240469208211137	0.4838709677419355	0.29344080904792036	0.28571428571428575	0.42857142857142855	-0.011324576666883194	-0.03571428571428572	0.2857142857142857	0.2857142857142857	0.5	0.6514285714285715	0.014405426584971792	1.0352614363655448	rwr_signed_graph	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36		
32	0.96875	0.8571428571428571	1.0	0.16484795621963258	0.1220674486803519	0.5161290322580645	0.21087753430325867	0.1785714285714286	0.5	0.3450500581310825	0.42857142857142866	0.5714285714285714	0.42857142857142855	0.6666666666666666	0.5428571428571428	0.06869570510843914	1.0352614363655448	ridge_signed_target	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36		
32	0.75	0.5714285714285714	1.0	-0.24876212670205564	-0.010343865008210608	0.6666666666666666	-0.2964403154713767	0.2594372608313854	0.5	-0.8055271565685703	-0.6071428571428572	0.2857142857142857	0.14285714285714285	0.0	0.38	0.09543536658748053	1.0352614363655448	retrieval_target	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36	decryptm_delta_00020	
32	0.8125	0.7142857142857143	1.0	0.15810559222832735	0.056081930501502966	0.5	0.487957640500153	0.3243374865704013	0.8	0.4817376023275733	0.642857142857143	0.5714285714285714	0.2857142857142857	1.0	0.46285714285714286	0.13442132156342268	1.0352614363655448	retrieval_target_baseline	p100_delta_00073	73	Bosutinib	ABL1;SRC;LYN;HCK	36		decryptm_delta_00038
32	1.0	1.0	1.0	0.7963930834138547	0.8255131964809383	0.78125	0.847717520268543	0.9285714285714288	0.8571428571428571	0.9360088882250259	0.9285714285714288	1.0	0.42857142857142855	1.0	0.7428571428571429	0.10110109497327358	1.0484025236219168	ppko_v10b	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	1.0484025236219168	zero_vector	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36		
32	0.03125	0.0	0.14285714285714285	0.021339539720604445	0.029178517217202927	1.0				0.05398655455605922	0.20412414523193148	1.0	0.14285714285714285		0.48	0.012349193915724754	1.0484025236219168	direct_kinase_substrate	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36		
32	0.96875	1.0	1.0	0.04373550302664126	0.009897360703812315	0.5483870967741935	0.24435077244259365	0.5	0.42857142857142855	0.08246029644409376	0.6785714285714287	0.7142857142857143	0.42857142857142855	0.3333333333333333	0.6	0.005614578737734632	1.0484025236219168	graph_heat_diffusion	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36		
32	0.96875	1.0	1.0	0.04656599789650794	-0.020161290322580645	0.45161290322580644	0.27974107590640407	0.7857142857142859	0.42857142857142855	0.0788375896874083	0.07142857142857144	0.7142857142857143	0.5714285714285714	0.5	0.7371428571428571	0.0051918502366987695	1.0484025236219168	rwr_signed_graph	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36		
32	0.96875	0.8571428571428571	1.0	0.009393329492771657	0.047841627916080806	0.5161290322580645	-0.3714390793481529	-0.25	0.5	0.05915773723225703	0.4642857142857144	0.42857142857142855	0.14285714285714285	0.0	0.32285714285714284	0.09836803755206347	1.0484025236219168	ridge_signed_target	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36		
32	0.6875	0.42857142857142855	1.0	-0.1435747742074233	-0.02587073328781178	0.5454545454545454	-0.4727841039190086	0.1182165609358651	0.3333333333333333	-0.5057128687607244	-0.25	0.2857142857142857	0.14285714285714285	0.0	0.34285714285714286	0.07873946508334484	1.0484025236219168	retrieval_target	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36	decryptm_delta_00010	
32	0.6875	0.42857142857142855	1.0	-0.1435747742074233	-0.02587073328781178	0.5454545454545454	-0.4727841039190086	0.1182165609358651	0.3333333333333333	-0.5057128687607244	-0.25	0.2857142857142857	0.14285714285714285	0.0	0.34285714285714286	0.07873946508334484	1.0484025236219168	retrieval_target_baseline	p100_delta_00074	74	Lapatinib	EGFR;ERBB2	36		decryptm_delta_00010
32	1.0	1.0	1.0	0.6126065549728795	0.7928885630498532	0.75	0.7847058264977091	0.642857142857143	1.0	0.7480525332542881	0.8571428571428573	1.0	0.7142857142857143	1.0	0.8628571428571429	0.06426897263736464	1.0948569697793573	ppko_v10b	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36		
32	0.0	0.0	0.0										0.2857142857142857		0.5	0.0	1.0948569697793573	zero_vector	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36		
32	0.28125	0.14285714285714285	1.0	0.09897040315171292	0.20186742864331325	0.6666666666666666	-0.3552111538442719	-0.20412414523193148	0.0	0.24755268586839732	0.5014858873767988	0.7142857142857143	0.14285714285714285	0.0	0.4114285714285714	0.12875324953347445	1.0948569697793573	direct_kinase_substrate	p100_delta_00075	75	Trametinib	MAP2K1;MAP2K2	36		
